# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_canonical_start_codon	variants_effect_protein_protein_contact	variants_effect_rare_amino_acid_variant	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AC006449.1	ENSG00000269094	ENST00000595377	protein_coding	54	272	772	14868	0	0	0	8250	2	0	772	0	0	0	0	0	0	9	7	40	7	2	268	6618
AC006455.1	ENSG00000230000	ENST00000456890	protein_coding	41	718	922	7632	5085	331	2313	117	2	0	922	0	0	0	0	0	0	9	7	26	8	1	375	117
AC006486.1	ENSG00000204957	ENST00000378108	protein_coding	69	353	982	15021	5001	27	228	7410	2	0	982	0	0	0	0	0	0	9	7	54	8	1	314	2382
AC006486.9	ENSG00000268643	ENST00000594664	protein_coding	116	538	1082	23304	0	41	399	5415	2	17490	1082	0	0	0	0	24	24	225	7	61	0	0	351	192
AC006538.4	ENSG00000267001	ENST00000586572	protein_coding	53	434	673	14379	0	95	678	9723	2	3957	673	0	0	0	0	12	12	117	7	22	0	0	247	117
AC006547.14	ENSG00000234409	ENST00000439765	protein_coding	222	1143	2322	6573	561	0	3	4416	0	1860	2322	0	0	0	0	48	48	441	0	118	8	1	845	117
AC006946.15	ENSG00000235478	ENST00000441544	protein_coding	100	468	691	17448	1560	125	1002	117	2	702	691	0	0	0	0	18	18	171	7	49	8	1	205	14211
AC006967.1	ENSG00000269446	ENST00000594086	protein_coding	56	500	888	2265	573	193	1458	117	2	0	888	0	0	0	0	0	0	9	7	42	7	2	294	117
AC007040.11	ENSG00000258881	ENST00000606025	protein_coding	148	842	1269	35811	8991	228	1737	924	2	24282	1269	0	0	0	0	30	30	279	7	74	7	2	421	117
AC007204.1	ENSG00000268461	ENST00000595282	protein_coding	59	226	522	8022	0	0	0	7533	0	468	522	0	0	0	0	12	12	117	0	35	0	0	154	117
AC007216.2	ENSG00000269121	ENST00000597717	protein_coding	33	140	316	4092	0	0	0	3789	0	234	316	0	0	0	0	6	6	63	0	21	0	0	104	117
AC007375.1	ENSG00000269883	ENST00000600936	protein_coding	53	514	875	7707	4758	110	861	117	2	0	875	0	0	0	0	0	0	9	7	38	8	1	392	1971
AC007377.1	ENSG00000268898	ENST00000593663	protein_coding	18	70	113	420	0	0	0	117	0	234	113	0	0	0	0	6	6	63	0	6	0	0	34	117
AC007382.1	ENSG00000268688	ENST00000593798	protein_coding	30	142	440	8595	0	0	0	117	0	0	440	0	0	0	0	0	0	9	0	30	0	0	142	8478
AC007401.2	ENSG00000217075	ENST00000406220	protein_coding	67	284	460	14478	159	70	447	117	2	10521	460	0	0	0	0	6	6	63	7	40	8	1	166	3282
AC007421.1	ENSG00000268503	ENST00000593717	protein_coding	16	21	19	2163	432	2	15	1599	2	0	19	0	0	0	0	0	0	9	7	1	8	1	7	117
AC007461.1	ENSG00000267893	ENST00000602013	protein_coding	29	257	319	1902	765	137	903	117	2	0	319	0	0	0	0	0	0	9	7	14	8	1	108	117
AC007557.1	ENSG00000223874	ENST00000456163	protein_coding	73	250	640	717	72	24	225	117	2	234	640	0	0	0	0	6	6	63	7	47	7	2	177	117
AC007773.3	ENSG00000269093	ENST00000594570	protein_coding	4	229	146	3105	45	163	1404	1539	0	0	146	0	0	0	0	0	0	9	0	4	0	0	57	117
AC007919.2	ENSG00000269496	ENST00000598405	protein_coding	47	191	536	1671	0	0	0	1554	2	0	536	0	0	0	0	0	0	9	7	32	8	1	188	117
AC007952.1	ENSG00000214844	ENST00000415171	protein_coding	37	140	207	861	0	0	0	117	0	705	207	0	0	0	0	12	12	114	0	13	0	0	68	135
AC007952.5	ENSG00000228157	ENST00000428928	protein_coding	86	524	1070	2433	1359	111	654	117	2	234	1070	0	0	0	0	6	6	63	7	60	7	2	364	117
AC007952.6	ENSG00000197665	ENST00000399083	protein_coding	77	522	954	3015	1362	137	798	117	2	474	954	0	0	0	0	6	6	63	7	51	7	2	336	312
AC007956.1	ENSG00000214670	ENST00000338772	protein_coding	79	388	862	2889	0	0	0	522	0	468	862	0	0	0	0	12	12	117	0	47	8	1	315	1995
AC007965.1	ENSG00000269393	ENST00000598545	protein_coding	46	108	131	606	0	0	0	117	0	468	131	0	0	0	0	12	12	117	0	14	8	1	35	117
AC008060.7	ENSG00000218672	ENST00000401499	protein_coding	68	298	688	4110	3546	34	144	117	2	234	688	0	0	0	0	6	6	63	7	41	8	1	216	117
AC008132.1	ENSG00000182824	ENST00000342888	protein_coding	159	638	829	6147	4086	63	339	117	2	1872	829	0	0	0	0	48	48	441	7	48	8	1	257	117
AC008132.13	ENSG00000161103	ENST00000342005	protein_coding	163	1189	2941	1320	537	51	363	117	2	234	2941	0	0	0	0	6	6	63	7	136	8	1	1072	117
AC008267.1	ENSG00000267941	ENST00000600021	protein_coding	15	130	269	3330	3096	0	0	117	0	0	269	0	0	0	0	0	0	9	0	7	8	1	120	117
AC008271.1	ENSG00000231031	ENST00000436967	protein_coding	96	346	800	996	201	0	3	117	0	702	800	0	0	0	0	18	18	171	0	52	8	1	228	117
AC008372.1	ENSG00000268208	ENST00000596936	protein_coding	24	62	61	2166	0	0	0	1863	2	234	61	1	0	0	0	6	6	63	7	5	0	0	24	117
AC008387.1	ENSG00000268217	ENST00000599298	protein_coding	18	59	106	420	0	0	0	117	0	234	106	0	0	0	0	6	6	63	0	6	0	0	23	117
AC008394.1	ENSG00000233828	ENST00000445770	protein_coding	91	413	1002	4833	3999	54	414	117	2	234	1002	0	0	0	0	6	6	63	7	64	8	1	311	117
AC008443.1	ENSG00000268397	ENST00000599439	protein_coding	87	316	953	9804	4080	33	183	3705	2	0	953	0	0	0	0	0	0	9	7	72	8	1	271	1836
AC008498.1	ENSG00000269267	ENST00000594278	protein_coding	46	144	485	234	0	0	0	117	2	0	485	0	0	0	0	0	0	9	7	31	8	1	141	117
AC008686.1	ENSG00000214109	ENST00000397557	protein_coding	121	502	817	2709	0	0	0	1581	0	1299	817	0	0	0	0	36	36	333	0	49	0	0	286	117
AC008914.1	ENSG00000268280	ENST00000595799	protein_coding	26	78	160	276	0	0	0	117	0	90	160	0	0	0	0	6	6	63	0	14	0	0	42	117
AC008948.1	ENSG00000268424	ENST00000597120	protein_coding	49	525	587	9162	1680	333	2253	5094	2	0	587	0	0	0	0	0	0	9	7	34	8	1	180	135
AC008964.1	ENSG00000269215	ENST00000593965	protein_coding	50	281	439	6909	4455	140	903	1434	2	0	439	0	0	0	0	0	0	9	7	36	7	2	128	117
AC009041.2	ENSG00000269047	ENST00000601510	protein_coding	21	72	72	9204	0	0	0	8901	2	234	72	1	0	0	0	6	6	63	7	2	0	0	34	117
AC009060.1	ENSG00000269746	ENST00000601706	protein_coding	55	271	817	234	0	0	0	117	2	0	817	1	0	0	0	0	0	9	7	40	8	1	268	117
AC009065.1	ENSG00000167970	ENST00000454671	protein_coding	92	500	1115	5259	0	0	0	3660	0	468	1115	0	0	0	0	12	12	117	0	60	8	1	427	1227
AC009365.3	ENSG00000183470	ENST00000332558	protein_coding	122	787	951	5613	2781	246	1854	117	2	936	951	0	0	0	0	24	24	225	7	60	7	2	330	117
AC009403.2	ENSG00000216895	ENST00000401694	protein_coding	71	343	462	2442	207	96	672	117	2	468	462	0	0	0	0	12	12	117	7	32	8	1	145	1074
AC009802.1	ENSG00000268706	ENST00000599868	protein_coding	26	102	199	5526	0	0	0	1482	0	3975	199	0	0	0	0	6	6	63	0	14	0	0	66	117
AC009892.10	ENSG00000224730	ENST00000456337	protein_coding	43	285	401	12858	597	69	462	9174	2	2556	401	0	0	0	0	6	6	63	7	16	8	1	168	117
AC009977.1	ENSG00000269084	ENST00000599485	protein_coding	26	102	217	411	0	0	0	117	0	225	217	0	0	0	0	6	6	63	0	14	0	0	66	117
AC010327.2	ENSG00000269808	ENST00000598855	protein_coding	88	687	1712	12504	6579	30	156	4239	2	0	1712	0	0	0	0	0	0	9	7	73	8	1	645	1530
AC010336.1	ENSG00000214248	ENST00000539278	protein_coding	93	1896	1575	14148	2538	1359	9483	1209	2	0	1575	0	0	0	0	0	0	9	7	78	8	1	525	918
AC010368.2	ENSG00000269027	ENST00000594869	protein_coding	28	61	103	2814	0	0	0	1410	2	234	103	0	0	0	0	6	6	63	7	9	0	0	23	1218
AC010441.1	ENSG00000269636	ENST00000600109	protein_coding	60	473	849	6195	3903	101	795	117	2	234	849	0	0	0	0	6	6	63	7	33	8	1	324	1194
AC010536.1	ENSG00000226180	ENST00000538868	protein_coding	111	695	1841	21900	5175	1	18	2994	2	0	1841	0	0	0	0	0	0	9	7	96	8	1	682	13713
AC010547.9	ENSG00000261611	ENST00000561908	nonsense_mediated_decay	143	721	594	20541	8241	111	804	126	2	11580	594	0	0	0	0	54	48	468	7	34	0	0	185	198
AC010642.1	ENSG00000267216	ENST00000591325	nonsense_mediated_decay	47	306	214	7110	5121	54	348	0	2	1623	214	0	0	0	0	18	18	162	7	4	0	0	88	162
AC010646.3	ENSG00000269095	ENST00000594059	protein_coding	63	486	280	17202	0	166	1128	3906	2	8115	280	0	0	0	0	24	24	225	7	8	0	0	120	4245
AC010760.1	ENSG00000269182	ENST00000599120	protein_coding	25	55	67	420	0	0	0	117	0	234	67	0	0	0	0	6	6	63	0	5	8	1	18	117
AC010877.1	ENSG00000269291	ENST00000595988	protein_coding	76	292	589	2925	0	0	0	117	0	714	589	0	0	0	0	24	24	201	0	28	0	0	184	2250
AC011239.1	ENSG00000224361	ENST00000430988	protein_coding	60	378	714	1179	0	111	759	117	2	234	714	0	0	0	0	6	6	63	7	41	0	0	229	117
AC011294.3	ENSG00000233539	ENST00000451905	protein_coding	95	327	692	5493	4563	55	324	117	2	468	692	0	0	0	0	12	12	117	7	56	8	1	188	117
AC011298.1	ENSG00000268822	ENST00000599492	protein_coding	40	171	473	3063	0	0	0	2946	0	0	473	0	0	0	0	0	0	9	0	32	8	1	170	117
AC011308.1	ENSG00000268857	ENST00000601086	protein_coding	26	71	77	576	0	0	0	240	2	51	77	0	0	0	0	6	6	63	7	7	0	0	33	333
AC011366.3	ENSG00000254106	ENST00000523446	protein_coding	53	219	227	1827	834	43	387	117	2	468	227	0	0	0	0	12	12	117	7	14	8	1	74	117
AC011475.1	ENSG00000226104	ENST00000430975	protein_coding	22	95	174	9612	0	0	0	5823	0	234	174	0	0	0	0	6	6	63	0	10	0	0	59	3603
AC011484.1	ENSG00000204850	ENST00000377652	protein_coding	69	577	1254	14322	3762	55	375	117	2	0	1254	0	0	0	0	0	0	9	7	54	8	1	510	10068
AC011500.1	ENSG00000213922	ENST00000396843	protein_coding	72	431	997	2877	0	0	0	1347	2	468	997	0	0	0	0	12	12	117	7	41	0	0	357	1158
AC011530.4	ENSG00000268434	ENST00000596586	protein_coding	102	421	860	14916	0	0	0	4299	0	7218	860	0	0	0	0	24	24	225	0	54	0	0	277	3591
AC011551.3	ENSG00000268423	ENST00000593888	protein_coding	110	462	816	3279	0	44	351	117	2	936	816	0	0	0	0	24	24	225	7	55	0	0	254	2067
AC011755.1	ENSG00000269686	ENST00000596384	protein_coding	64	672	816	5247	2373	409	2640	117	2	0	816	0	0	0	0	0	0	9	7	49	8	1	251	117
AC011897.1	ENSG00000265629	ENST00000581929	protein_coding	79	433	941	22851	4458	46	336	117	2	13440	941	0	0	0	0	6	6	63	7	52	8	1	339	4548
AC011997.1	ENSG00000222017	ENST00000409845	protein_coding	86	286	564	21735	2298	0	15	1488	2	17961	564	0	0	0	0	18	18	171	7	35	8	1	166	117
AC012067.1	ENSG00000269464	ENST00000601705	protein_coding	17	59	98	420	0	0	0	117	0	234	98	0	0	0	0	6	6	63	0	5	0	0	23	117
AC012123.1	ENSG00000228835	ENST00000426194	protein_coding	109	554	1196	7947	3237	5	45	117	2	4125	1196	0	0	0	0	18	18	171	7	58	8	1	429	567
AC012215.1	ENSG00000233863	ENST00000437887	protein_coding	76	765	917	13827	7707	498	3102	117	2	0	917	0	0	0	0	0	0	9	7	62	7	2	254	2901
AC012313.1	ENSG00000269855	ENST00000601382	protein_coding	74	810	1969	2841	0	0	0	117	2	0	1969	0	0	0	0	0	0	9	7	67	0	0	808	2724
AC012360.1	ENSG00000268556	ENST00000595481	protein_coding	18	52	68	420	0	0	0	117	0	234	68	0	0	0	0	6	6	63	0	6	0	0	16	117
AC012360.2	ENSG00000268809	ENST00000595531	protein_coding	17	65	206	3429	0	0	0	117	0	0	206	0	0	0	0	0	0	9	0	10	7	2	63	3312
AC012414.1	ENSG00000268343	ENST00000595502	protein_coding	69	568	1406	234	0	0	0	117	0	0	1406	0	0	0	0	0	0	9	0	61	8	1	567	117
AC012485.1	ENSG00000268396	ENST00000598920	protein_coding	21	96	156	1437	0	0	0	1134	0	234	156	0	0	0	0	6	6	63	0	9	0	0	60	117
AC012493.2	ENSG00000269383	ENST00000595083	protein_coding	55	181	673	234	0	0	0	117	2	0	673	0	0	0	0	0	0	9	7	41	7	2	177	117
AC013269.5	ENSG00000184761	ENST00000409259	protein_coding	109	534	991	4587	3021	65	588	117	2	936	991	0	0	0	0	24	24	225	7	47	7	2	294	117
AC013449.1	ENSG00000268412	ENST00000599234	protein_coding	59	275	890	234	0	0	0	117	2	0	890	0	0	0	0	0	0	9	7	44	8	1	272	117
AC013468.1	ENSG00000231145	ENST00000424876	protein_coding	19	68	105	4227	0	0	0	807	0	234	105	0	0	0	0	6	6	63	0	7	0	0	32	3234
AC013469.1	ENSG00000267963	ENST00000593909	protein_coding	21	77	103	1836	0	0	0	1533	2	234	103	0	0	0	0	6	6	63	7	2	0	0	39	117
AC015660.1	ENSG00000269810	ENST00000595415	protein_coding	24	89	283	234	0	0	0	117	0	0	283	0	0	0	0	0	0	9	0	16	8	1	88	117
AC015688.3	ENSG00000266728	ENST00000584605	nonsense_mediated_decay	66	314	607	7962	963	0	0	1536	0	5292	607	0	0	0	0	12	12	117	0	34	8	1	196	267
AC015987.2	ENSG00000236338	ENST00000416501	protein_coding	58	480	545	9225	1956	309	2298	4755	2	0	545	0	0	0	0	0	0	9	7	44	7	2	158	216
AC015989.1	ENSG00000215431	ENST00000400312	protein_coding	43	79	169	1245	0	0	0	942	0	234	169	0	0	0	0	6	6	63	0	31	0	0	43	117
AC015989.2	ENSG00000269630	ENST00000593319	protein_coding	63	186	678	816	0	0	0	117	2	0	678	0	0	0	0	0	0	9	7	49	7	2	182	699
AC016251.1	ENSG00000205148	ENST00000378936	protein_coding	66	253	824	234	0	0	0	117	2	0	824	0	0	0	0	0	0	9	7	51	8	1	250	117
AC016559.1	ENSG00000268012	ENST00000594347	protein_coding	34	138	422	234	0	0	0	117	0	0	422	0	0	0	0	0	0	9	0	27	7	2	136	117
AC016586.1	ENSG00000205147	ENST00000535853	protein_coding	53	602	861	22746	2868	265	1974	6291	2	0	861	0	0	0	0	0	0	9	7	39	7	2	324	11613
AC016745.1	ENSG00000238091	ENST00000440617	protein_coding	75	258	981	1269	0	0	0	1152	0	0	981	0	0	0	0	0	0	9	0	67	8	1	257	117
AC016752.1	ENSG00000267935	ENST00000601700	protein_coding	46	108	131	606	0	0	0	117	0	468	131	0	0	0	0	12	12	117	0	14	8	1	35	117
AC016757.3	ENSG00000186235	ENST00000409070	protein_coding	89	541	1061	1293	51	83	636	117	2	468	1061	0	0	0	0	12	12	117	7	51	7	2	373	117
AC016885.1	ENSG00000268080	ENST00000598428	protein_coding	67	385	1009	339	0	0	0	117	0	153	1009	0	0	0	0	6	6	63	0	48	7	2	347	117
AC017028.1	ENSG00000213828	ENST00000396489	protein_coding	57	223	560	1065	0	0	0	165	2	234	560	0	0	0	0	6	6	63	7	38	0	0	185	714
AC017081.1	ENSG00000269633	ENST00000598562	protein_coding	57	271	815	234	0	0	0	117	2	0	815	0	0	0	0	0	0	9	7	42	8	1	268	117
AC017104.2	ENSG00000233538	ENST00000370380	protein_coding	70	441	728	10194	0	93	672	9033	2	468	728	0	0	0	0	12	12	117	7	39	0	0	256	117
AC018445.1	ENSG00000269679	ENST00000597412	protein_coding	34	181	523	234	0	0	0	117	0	0	523	0	0	0	0	0	0	9	0	27	7	2	179	117
AC018470.1	ENSG00000268241	ENST00000595354	protein_coding	149	1373	3131	4179	0	0	0	855	2	0	3131	0	0	0	0	0	0	9	7	134	8	1	1370	3324
AC018512.1	ENSG00000268488	ENST00000598763	protein_coding	32	55	105	420	0	0	0	117	2	234	105	0	0	0	0	6	6	63	7	13	0	0	17	117
AC018630.1	ENSG00000268301	ENST00000601123	protein_coding	42	111	414	3531	0	0	0	117	2	0	414	0	0	0	0	0	0	9	7	28	7	2	107	3414
AC018755.1	ENSG00000167765	ENST00000301439	protein_coding	115	652	1687	12063	2559	30	168	9033	2	234	1687	0	0	0	0	6	6	63	7	89	7	2	573	117
AC018816.3	ENSG00000235978	ENST00000449914	protein_coding	81	310	554	10416	321	9	66	1452	2	8604	554	0	0	0	0	18	18	171	7	31	7	2	180	117
AC018867.1	ENSG00000213953	ENST00000396985	protein_coding	18	63	138	4329	0	0	0	2916	0	804	138	0	0	0	0	6	6	63	0	6	0	0	27	657
AC018867.2	ENSG00000268846	ENST00000595956	protein_coding	27	85	302	4452	0	0	0	1731	2	0	302	0	0	0	0	0	0	9	7	13	7	2	81	2721
AC019171.1	ENSG00000269210	ENST00000601251	protein_coding	68	597	1495	2562	0	0	0	1527	0	0	1495	0	0	0	0	0	0	9	0	60	8	1	596	1035
AC019206.1	ENSG00000268328	ENST00000599032	protein_coding	39	136	449	3987	0	0	0	555	0	234	449	0	0	0	0	6	6	63	0	27	0	0	100	3246
AC019294.1	ENSG00000256530	ENST00000543887	protein_coding	77	552	1261	2154	1722	27	198	117	2	0	1261	0	0	0	0	0	0	9	7	63	7	2	512	117
AC020629.1	ENSG00000269367	ENST00000601185	protein_coding	49	98	306	1512	0	0	0	1209	0	234	306	0	0	0	0	6	6	63	0	37	0	0	62	117
AC020907.1	ENSG00000179066	ENST00000313865	protein_coding	69	490	973	2700	1215	182	1251	117	2	0	973	0	0	0	0	0	0	9	7	54	8	1	296	117
AC020922.1	ENSG00000267531	ENST00000539076	protein_coding	85	567	822	11280	231	163	1263	6882	2	2784	822	0	0	0	0	12	12	117	7	46	8	1	284	216
AC020952.1	ENSG00000268953	ENST00000598480	protein_coding	57	293	838	234	0	0	0	117	0	0	838	0	0	0	0	0	0	9	0	49	8	1	292	117
AC021218.2	ENSG00000204876	ENST00000377722	protein_coding	134	793	1911	5337	4323	90	594	117	2	234	1911	0	0	0	0	6	6	63	7	108	7	2	654	117
AC021860.1	ENSG00000196355	ENST00000436901	protein_coding	103	1122	1115	5883	933	504	3126	117	2	1734	1115	0	0	0	0	18	18	171	7	52	8	1	444	117
AC022210.1	ENSG00000269417	ENST00000595179	protein_coding	24	76	110	420	0	0	0	117	2	234	110	0	0	0	0	6	6	63	7	5	0	0	38	117
AC022400.2	ENSG00000267964	ENST00000595757	protein_coding	35	371	926	14919	0	0	0	9156	2	0	926	0	0	0	0	0	0	9	7	21	7	2	367	5763
AC022431.2	ENSG00000225940	ENST00000438651	protein_coding	123	550	830	2307	465	84	678	117	2	1170	830	0	0	0	0	30	30	279	7	48	8	1	256	117
AC022498.1	ENSG00000213132	ENST00000392468	protein_coding	41	568	792	5913	3756	267	1923	117	2	0	792	0	0	0	0	0	0	9	7	27	7	2	288	117
AC022532.1	ENSG00000197604	ENST00000420338	protein_coding	54	577	986	6927	2361	186	1407	486	2	0	986	0	0	0	0	0	0	9	7	39	8	1	379	2673
AC022819.2	ENSG00000268730	ENST00000600203	protein_coding	36	122	181	606	0	0	0	117	0	468	181	0	0	0	0	12	12	105	0	12	0	0	50	117
AC023469.1	ENSG00000222031	ENST00000409243	protein_coding	104	387	599	1557	324	43	255	117	2	936	599	0	0	0	0	24	24	225	7	41	8	1	170	117
AC023590.1	ENSG00000225885	ENST00000366457	protein_coding	42	147	237	2430	1779	36	231	117	2	234	237	0	0	0	0	6	6	63	7	15	8	1	63	117
AC023632.1	ENSG00000212997	ENST00000391679	protein_coding	48	312	525	5829	4014	138	828	288	2	0	525	0	0	0	0	0	0	9	7	33	8	1	162	699
AC024257.1	ENSG00000269282	ENST00000598930	protein_coding	82	311	984	4335	4038	9	63	117	2	0	984	0	0	0	0	0	0	9	7	67	8	1	290	117
AC024580.1	ENSG00000204533	ENST00000376271	protein_coding	113	548	1538	2367	0	0	0	2064	0	234	1538	0	0	0	0	6	6	63	0	101	0	0	512	117
AC024592.12	ENSG00000267740	ENST00000586349	protein_coding	77	521	1061	13275	0	0	3	4449	0	7692	1061	0	0	0	0	18	18	171	0	41	0	0	413	1275
AC024940.1	ENSG00000177340	ENST00000313737	protein_coding	59	549	1016	4965	1866	175	1584	1398	2	0	1016	0	0	0	0	0	0	9	7	45	7	2	361	117
AC025262.1	ENSG00000268028	ENST00000594966	protein_coding	30	90	303	2292	0	0	0	2175	0	0	303	0	0	0	0	0	0	9	0	22	8	1	89	117
AC025263.3	ENSG00000258052	ENST00000550437	nonsense_mediated_decay	100	319	493	26565	951	0	0	138	0	24750	493	0	0	0	0	24	24	225	0	45	7	2	146	918
AC025278.1	ENSG00000204752	ENST00000377296	protein_coding	36	324	525	4971	3828	138	909	117	2	0	525	0	0	0	0	0	0	9	7	22	7	2	173	117
AC025287.1	ENSG00000214325	ENST00000538623	protein_coding	108	344	1012	606	0	0	0	117	0	468	1012	0	0	0	0	12	12	117	0	84	0	0	272	117
AC026202.1	ENSG00000268509	ENST00000600805	protein_coding	60	642	1566	285	0	0	0	117	0	0	1566	0	0	0	0	0	0	9	0	52	8	1	641	168
AC026310.1	ENSG00000268865	ENST00000599478	protein_coding	88	699	1555	5580	4053	110	843	117	2	0	1555	0	0	0	0	0	0	9	7	74	7	2	576	567
AC026369.1	ENSG00000268640	ENST00000594563	protein_coding	36	125	274	420	0	0	0	117	2	234	274	0	0	0	0	6	6	63	7	17	0	0	87	117
AC026407.1	ENSG00000268432	ENST00000599823	protein_coding	40	177	413	4800	0	0	0	2037	0	249	413	0	0	0	0	12	12	81	0	22	0	0	141	2568
AC026461.1	ENSG00000268317	ENST00000600389	protein_coding	20	78	112	4239	0	0	0	2772	0	234	112	0	0	0	0	6	6	63	0	8	0	0	42	1281
AC026703.1	ENSG00000181495	ENST00000326958	protein_coding	60	507	797	16074	5838	257	1689	117	2	0	797	0	0	0	0	0	0	9	7	45	8	1	238	8430
AC026740.1	ENSG00000268885	ENST00000594226	protein_coding	95	633	1600	9378	0	0	0	117	2	468	1600	0	0	0	0	12	12	117	7	64	0	0	559	8889
AC027228.1	ENSG00000268838	ENST00000599596	protein_coding	36	662	525	6906	15	458	3027	2130	0	0	525	0	0	0	0	0	0	9	0	28	8	1	194	1734
AC027307.3	ENSG00000268798	ENST00000594262	protein_coding	46	352	925	5043	1986	0	0	117	0	0	925	0	0	0	0	0	0	9	0	39	7	2	341	2940
AC027309.1	ENSG00000268553	ENST00000601856	protein_coding	36	146	394	234	0	0	0	117	2	0	394	0	0	0	0	0	0	9	7	21	8	1	143	117
AC027763.2	ENSG00000215067	ENST00000575889	protein_coding	84	400	673	17961	0	53	357	117	2	10626	673	0	0	0	0	18	18	171	7	41	0	0	237	7005
AC037199.1	ENSG00000267880	ENST00000594218	protein_coding	26	76	126	7857	0	0	0	1164	0	336	126	0	0	0	0	6	6	63	0	14	0	0	40	6405
AC037459.4	ENSG00000248235	ENST00000450780	protein_coding	155	923	2045	12879	0	0	0	7335	0	4032	2045	0	0	0	0	24	24	225	0	107	0	0	779	1704
AC040160.1	ENSG00000237102	ENST00000454102	protein_coding	89	512	1145	16191	618	12	87	4659	2	468	1145	0	0	0	0	12	12	117	7	50	8	1	416	10455
AC040977.1	ENSG00000269871	ENST00000593646	protein_coding	94	450	1118	9291	0	0	0	4380	2	471	1118	0	0	0	0	12	12	117	7	63	0	0	376	4536
AC051642.1	ENSG00000268085	ENST00000595539	protein_coding	17	72	94	1341	0	0	0	117	0	234	94	0	0	0	0	6	6	63	0	5	0	0	36	1038
AC055736.1	ENSG00000268716	ENST00000601218	protein_coding	5	51	142	234	0	0	0	117	0	0	142	0	0	0	0	0	0	9	0	5	0	0	51	117
AC061975.10	ENSG00000268206	ENST00000600595	protein_coding	24	149	298	1467	0	0	0	1164	0	234	298	0	0	0	0	6	6	63	0	12	0	0	113	117
AC061992.1	ENSG00000268965	ENST00000600087	protein_coding	42	321	915	6555	0	0	0	2718	0	0	915	0	0	0	0	0	0	9	0	35	7	2	319	3837
AC062017.1	ENSG00000222020	ENST00000413029	protein_coding	47	308	710	2730	354	0	3	117	0	234	710	0	0	0	0	6	6	63	0	27	8	1	262	2070
AC064874.1	ENSG00000222007	ENST00000440101	protein_coding	60	215	460	837	231	0	0	117	0	468	460	0	0	0	0	12	12	117	0	28	8	1	133	117
AC068039.1	ENSG00000268821	ENST00000598148	protein_coding	30	71	145	2211	0	0	0	117	0	1029	145	0	0	0	0	6	6	63	0	18	0	0	35	1113
AC068533.7	ENSG00000249319	ENST00000450043	protein_coding	242	979	1938	15564	0	0	3	7077	0	6513	1938	0	0	0	0	66	66	603	0	110	0	0	583	2499
AC068620.1	ENSG00000268171	ENST00000598320	protein_coding	94	268	988	1524	0	0	0	117	2	0	988	0	0	0	0	0	0	9	7	87	0	0	266	1407
AC068987.1	ENSG00000260415	ENST00000599343	protein_coding	71	336	807	18849	6900	71	510	153	2	0	807	0	0	0	0	0	0	9	7	57	7	2	252	11286
AC069368.3	ENSG00000249240	ENST00000437723	protein_coding	165	718	1474	15027	0	26	207	1179	2	13635	1474	0	0	0	0	36	36	333	7	86	0	0	474	294
AC069547.1	ENSG00000269165	ENST00000595931	protein_coding	33	459	490	4305	1959	307	2112	117	2	0	490	0	0	0	0	0	0	9	7	18	8	1	140	117
AC069547.2	ENSG00000269700	ENST00000596442	protein_coding	74	267	815	3759	3474	4	51	117	2	0	815	0	0	0	0	0	0	9	7	59	8	1	251	117
AC073063.1	ENSG00000214314	ENST00000398089	protein_coding	17	77	107	1509	0	0	0	633	0	234	107	0	0	0	0	6	6	63	0	5	0	0	41	690
AC073188.1	ENSG00000268181	ENST00000593633	protein_coding	41	378	922	234	0	0	0	117	2	0	922	0	0	0	0	0	0	9	7	26	8	1	375	117
AC073333.1	ENSG00000267906	ENST00000597084	protein_coding	58	268	817	2421	0	0	0	1299	2	0	817	0	0	0	0	0	0	9	7	43	8	1	265	1122
AC073342.1	ENSG00000268170	ENST00000595842	protein_coding	26	129	439	2739	0	0	0	216	0	0	439	0	0	0	0	0	0	9	0	18	8	1	128	2523
AC073343.1	ENSG00000198580	ENST00000544825	protein_coding	318	984	2640	1890	0	0	0	117	0	2088	2640	0	0	0	0	54	54	495	0	210	0	0	660	117
AC073528.1	ENSG00000268519	ENST00000600558	protein_coding	30	95	97	606	0	0	0	117	0	468	97	0	0	0	0	12	12	117	0	6	0	0	23	117
AC073569.1	ENSG00000269531	ENST00000598624	protein_coding	19	50	69	3600	0	0	0	1107	0	2424	69	0	0	0	0	6	6	63	0	7	0	0	14	117
AC073610.5	ENSG00000255863	ENST00000537495	protein_coding	52	207	413	21762	588	0	0	4080	0	15201	413	0	0	0	0	12	12	117	0	20	8	1	125	1989
